Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Surface de feu à l'arrivée des secours > 0,1 ha";"Type de peuplement";"Connaissance de la cause";Nature;"Intervention de l'équipe RCCI";"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Hygrométrie (%)";"Vitesse moyenne du vent (Km/h)";"Direction du vent";"Température (°C)";"Précision de la donnée"
2022;21374;"07";"07315";"La Souche";"2022-01-16 16:34:00";50000;;50000;;;;;;;;;"Oui";"1";"Certaine";"Involontaire (particulier)";;;;;;;40;"N";0;""
2022;19514;"13";"13056";"Martigues";"2022-01-17 02:37:00";20;20;;;;;;;;;;"Non";"1";"Inconnue";;;;;;;;;;;""
2022;21798;"04";"04061";"Colmars";"2022-01-17 11:41:00";105700;105700;;;;;;;;;;;"5";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;15276;"07";"07093";"Genestelle";"2022-01-17 16:58:00";15000;;15000;;;;;;;;;"Oui";"1";"Certaine";"Involontaire (particulier)";;;;;;;45;"N";6;""
2022;15944;"11";"11285";"Peyriac-de-Mer";"2022-01-17 17:46:00";6000;;;;;;;;;;;;;"Probable";"Involontaire (particulier)";"Oui";;;;;;;;;""
2022;13557;"06";"06050";"Coursegoules";"2022-01-17 21:09:00";1500;;1500;;;;;;;;;"Non";"1";"Inconnue";;;;;;;;;;;""
2022;13806;"2A";"2A247";"Porto-Vecchio";"2022-01-18 00:40:00";10;;;;;;;;;10;;;;"Certaine";"Involontaire (travaux)";"Non";;;;;;;;;""
2022;13807;"2A";"2A141";"Letia";"2022-01-18 11:49:00";3;;3;;;;;;;;;;;"Inconnue";;"Non";;;;;;;;;""
2022;13547;"06";"06057";"L'Escarène";"2022-01-18 13:03:00";3000;;3000;;;;;;;;;"Oui";"1";"Inconnue";;"Non";;;;;;;;;""
2022;18337;"30";"30279";"Saint-Laurent-la-Vernède";"2022-01-18 13:09:00";4000;;;;;;;;;;;;;;;;;;;;;;;;""
2022;13591;"06";"06096";"Pierlas";"2022-01-18 16:36:00";42000;;42000;;;;;;;;;"Oui";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;13808;"2A";"2A212";"Piana";"2022-01-18 17:10:00";50;;50;;;;;;;;;;;"Inconnue";;"Non";;;;;;;;;""
2022;13809;"2A";"2A351";"Villanova";"2022-01-19 11:22:00";50;;50;;;;;;;;;;;"Inconnue";;"Non";;;;;;;;;""
2022;14208;"66";"66141";"Pia";"2022-01-19 16:45:00";10000;;;;;;;;;10000;;"Non";"6";"Inconnue";;"Non";;;;;50;14;"NO";11;""
2022;13813;"2A";"2A065";"Cargèse";"2022-01-20 10:55:00";30;;30;;;;;;;;;;;"Inconnue";;"Non";;;;;;;;;""
2022;19469;"13";"13053";"Mallemort";"2022-01-20 15:41:00";200;200;;;;;;;;;;"Non";"1";"Inconnue";;"Non";;;;;;;;;""
2022;13633;"2B";"2B167";"Montegrosso";"2022-01-20 16:06:00";300;;;;;;;;;;;;;;;;;;;;;;;;""
2022;13624;"07";"07202";"Sablières";"2022-01-20 17:11:00";214923;74500;140400;;;;;;;23;;"Oui";"3";"Probable";"Involontaire (particulier)";;;;;;;50;"N";3;""
2022;13634;"2B";"2B281";"Sisco";"2022-01-21 11:31:00";500;;;;;;;;;;;;;;;;;;;;;;;;""
2022;13602;"06";"06163";"Tende";"2022-01-21 13:59:00";48000;10000;38000;;;;;;;;;"Non";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;13646;"07";"07074";"Creysseilles";"2022-01-21 16:18:00";6000;6000;;;;;;;;;;"Oui";"5";"Certaine";"Accidentelle";;;;;;;5;"N";5;""
2022;13636;"2B";"2B290";"Speloncato";"2022-01-21 17:36:00";500;;;;;;;;;;;;;;;;;;;;;;;;""
2022;13525;"34";"34286";"Saint-Privat";"2022-01-21 17:48:00";29299;0;29299;;;;;;;;;"Oui";"1";"Probable";"Malveillance";"Non";;;;;;;;;""
2022;20451;"06";"06020";"La Bollène-Vésubie";"2022-01-22 02:01:00";30;;;;;;;;;;;"Non";;"Inconnue";;;;;;;;;;;""
2022;18339;"30";"30132";"La Grand-Combe";"2022-01-22 12:22:00";1000;;;;;;;;;;;;;;;;;;;;;;;;""
2022;15945;"11";"11370";"Salles-d'Aude";"2022-01-22 13:19:00";1300;;;;;;;;;;;;;"Probable";"Malveillance";"Oui";;;;;;;;;""
2022;13823;"06";"06050";"Coursegoules";"2022-01-22 17:55:00";1500;;1500;;;;;;;;;"Non";"1";"Probable";"Malveillance";;;;;;;;;;""
2022;13855;"34";"34156";"Mérifons";"2022-01-23 11:41:00";82618;;82618;;;;;;;;;"Oui";"1";"Probable";"Involontaire (travaux)";"Non";;;;;;;;;""
2022;19436;"13";"13030";"Cuges-les-Pins";"2022-01-23 11:48:00";20000;20000;;;;;;;;;;"Oui";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;20452;"06";"06160";"Villeneuve-d'Entraunes";"2022-01-23 12:10:00";150;;;;;;;;;;;"Non";;"Inconnue";;;;;;;;;;;""
2022;13638;"2B";"2B225";"Pietra-di-Verde";"2022-01-23 13:48:00";5000;;;;;;;;;;;;;;;;;;;;;;;;""
2022;13613;"06";"06033";"Carros";"2022-01-23 13:52:00";1000;;1000;;;;;;;;;"Non";"1";"Probable";"Malveillance";;;;;;;;;;""
2022;18309;"84";"84137";"Vaison-la-Romaine";"2022-01-23 13:53:00";30;30;;;;;;;;;;;"4";"Inconnue";;;;;;;;;;;""
2022;19536;"13";"13001";"Aix-en-Provence";"2022-01-23 15:32:00";200;200;;;;;;;;;;"Non";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;13866;"34";"34041";"Brignac";"2022-01-23 16:48:00";84;0;84;;;;;;;;;"Non";"1";"Inconnue";;"Non";;;;;;;;;""
2022;19491;"13";"13100";"Saint-Rémy-de-Provence";"2022-01-23 17:50:00";100;100;;;;;;;;;;"Non";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;13834;"06";"06053";"Daluis";"2022-01-24 12:05:00";12000;;;;;;;;;;;"Oui";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;13639;"2B";"2B039";"Bisinchi";"2022-01-24 15:09:00";2500;;;;;;;;;;;;;;;;;;;;;;;;""
2022;13689;"04";"04051";"Châteauneuf-Miravail";"2022-01-24 16:02:00";6400;4000;2400;;;;;;;;;;"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
